genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	amikacin	Susceptible					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	ampicillin	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	ampicillin_sulbactam	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	aztreonam	Intermediate					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	cefazolin	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	cefepime	Susceptible					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	ceftazidime	Intermediate					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	ceftriaxone	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	ciprofloxacin	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	doxycycline	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	gentamicin	Susceptible					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	imipenem	Susceptible					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	meropenem	Susceptible					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	minocycline	Susceptible					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	nitrofurantoin	Susceptible					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	trimethoprim_sulfamethoxazole	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65896	Klebsiella pneumoniae 012-E1-DxU	573	ampicillin	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
573.65896	Klebsiella pneumoniae 012-E1-DxU	573	cefazolin	Resistant					Disk diffusion			Hardy Diagnostics	CLSI	2015	
