genome_id	genome_name	isolation_country	host_name	collection_date	disease	mlst
"1094167.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH7"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1094169.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH9"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1094170.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH10"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1094171.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH11"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1087440.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH1"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1087441.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH2"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1087443.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH4"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1087444.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH5"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1168064.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH23"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1304916.4"	"Klebsiella pneumoniae 140_1040"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1304917.4"	"Klebsiella pneumoniae 160_1080"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1304918.4"	"Klebsiella pneumoniae 120_1020"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1304919.4"	"Klebsiella pneumoniae 280_1220"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1304920.3"	"Klebsiella pneumoniae 361_1301"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1304921.4"	"Klebsiella pneumoniae 440_1540"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1304922.3"	"Klebsiella pneumoniae 500_1420"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1304923.3"	"Klebsiella pneumoniae 540_1460"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1304924.3"	"Klebsiella pneumoniae 646_1568"	"USA"	"Human, Homo sapiens"	"2012"		"MLST.klebsiella.258"
"1284787.3"	"Klebsiella pneumoniae UHKPC40"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284788.3"	"Klebsiella pneumoniae UHKPC23"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284789.4"	"Klebsiella pneumoniae UHKPC28"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284790.3"	"Klebsiella pneumoniae UHKPC05"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284791.4"	"Klebsiella pneumoniae UHKPC47"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284792.4"	"Klebsiella pneumoniae UHKPC67"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284793.4"	"Klebsiella pneumoniae UHKPC69"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284794.4"	"Klebsiella pneumoniae UHKPC77"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284795.4"	"Klebsiella pneumoniae UHKPC96"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284796.3"	"Klebsiella pneumoniae DMC0526"	"USA"	"Human, Homo sapiens"	"2010"		"MLST.klebsiella.258"
"1284797.4"	"Klebsiella pneumoniae DMC0799"	"USA"	"Human, Homo sapiens"	"2010"		"MLST.klebsiella.45"
"1284798.4"	"Klebsiella pneumoniae DMC1097"	"USA"	"Human, Homo sapiens"	"2010"		"MLST.klebsiella.258"
"1284799.4"	"Klebsiella pneumoniae DMC1316"	"USA"	"Human, Homo sapiens"	"2010"		"MLST.klebsiella.258"
"1284800.4"	"Klebsiella pneumoniae UHKPC61"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284801.3"	"Klebsiella pneumoniae UHKPC48"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284802.4"	"Klebsiella pneumoniae UHKPC33"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284803.4"	"Klebsiella pneumoniae UHKPC59"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284804.4"	"Klebsiella pneumoniae UHKPC07"	"USA"	"Human, Homo sapiens"	"2007"		"MLST.klebsiella.258"
"1284805.4"	"Klebsiella pneumoniae UHKPC17"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284806.4"	"Klebsiella pneumoniae UHKPC18"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284807.4"	"Klebsiella pneumoniae UHKPC31"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284808.4"	"Klebsiella pneumoniae UHKPC06"	"USA"	"Human, Homo sapiens"	"2007"		"MLST.klebsiella.258"
"1284809.4"	"Klebsiella pneumoniae UHKPC02"	"USA"	"Human, Homo sapiens"	"2007"		"MLST.klebsiella.258"
"1284810.3"	"Klebsiella pneumoniae UHKPC09"	"USA"	"Human, Homo sapiens"	"2007"		"MLST.klebsiella.258"
"1284811.3"	"Klebsiella pneumoniae UHKPC01"	"USA"	"Human, Homo sapiens"	"2007"		"MLST.klebsiella.258"
"1284812.3"	"Klebsiella pneumoniae UHKPC81"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.234"
"1284813.3"	"Klebsiella pneumoniae UHKPC27"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284814.3"	"Klebsiella pneumoniae UHKPC 52"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284815.3"	"Klebsiella pneumoniae UHKPC24"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284816.3"	"Klebsiella pneumoniae UHKPC26"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284817.3"	"Klebsiella pneumoniae UHKPC57"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.15"
"1284818.4"	"Klebsiella pneumoniae UHKPC179"	"USA"	"Human, Homo sapiens"	"2009"		"MLST.klebsiella.15"
"1284819.3"	"Klebsiella pneumoniae UHKPC45"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284820.3"	"Klebsiella pneumoniae UHKPC22"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284821.3"	"Klebsiella pneumoniae UHKPC29"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284822.3"	"Klebsiella pneumoniae UHKPC32"	"USA"	"Human, Homo sapiens"	"2008"		"MLST.klebsiella.258"
"1284823.3"	"Klebsiella pneumoniae UHKPC04"	"USA"	"Human, Homo sapiens"	"2007"		"MLST.klebsiella.258"
"1284824.3"	"Klebsiella pneumoniae VAKPC252"	"USA"	"Human, Homo sapiens"	"2010"		"MLST.klebsiella.258"
"1284825.3"	"Klebsiella pneumoniae VAKPC254"	"USA"	"Human, Homo sapiens"	"2010"		"MLST.klebsiella.258"
"1284826.3"	"Klebsiella pneumoniae VAKPC269"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1284827.3"	"Klebsiella pneumoniae VAKPC278"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1284828.3"	"Klebsiella pneumoniae VAKPC280"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1284829.3"	"Klebsiella pneumoniae VAKPC270"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1284830.3"	"Klebsiella pneumoniae VAKPC276"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1284831.3"	"Klebsiella pneumoniae VAKPC297"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1284832.3"	"Klebsiella pneumoniae VAKPC309"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1284833.4"	"Klebsiella pneumoniae KP-7"	"USA"	"Human, Homo sapiens"	"2004"		"MLST.klebsiella.1272"
"1284834.3"	"Klebsiella pneumoniae KP-11"	"USA"	"Human, Homo sapiens"	"2004"		"MLST.klebsiella.1272"
"1128946.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH12"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1128948.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH14"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1128950.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH16"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1128951.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH17"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1128952.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH18"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1128953.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH19"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1128954.3"	"Klebsiella pneumoniae subsp. pneumoniae KPNIH20"	"USA"	"Human, Homo sapiens"	"2011"		"MLST.klebsiella.258"
"1438697.3"	"Klebsiella pneumoniae BIDMC 54"	"USA"	"Human, Homo sapiens"	"2013"		"MLST.klebsiella.258"
"1438698.3"	"Klebsiella pneumoniae BIDMC 55"	"USA"	"Human, Homo sapiens"	"2013"		"MLST.klebsiella.105"
"1438699.3"	"Klebsiella pneumoniae BIDMC 60"	"USA"	"Human, Homo sapiens"	"2013"		"MLST.klebsiella.258"
"1438700.3"	"Klebsiella pneumoniae BIDMC 61"	"USA"	"Human, Homo sapiens"	"2013"		"MLST.klebsiella.3923"
"1438701.3"	"Klebsiella pneumoniae BIDMC 68"	"USA"	"Human, Homo sapiens"	"2013"		"MLST.klebsiella.258"
"1438702.3"	"Klebsiella pneumoniae BIDMC 69"	"USA"	"Human, Homo sapiens"	"2013"		"MLST.klebsiella.17"
"1438708.3"	"Klebsiella pneumoniae CHS 02"	"USA"	"Human, Homo sapiens"	"2013-02-06"		"MLST.klebsiella.1199"
"1438709.3"	"Klebsiella pneumoniae CHS 03"	"USA"	"Human, Homo sapiens"	"2012-11-17"		"MLST.klebsiella.258"
"1438711.3"	"Klebsiella pneumoniae CHS 05"	"USA"	"Human, Homo sapiens"	"2013-02-11"		"MLST.klebsiella.258"
"1438712.3"	"Klebsiella pneumoniae CHS 06"	"USA"	"Human, Homo sapiens"	"2013-02-28"		"MLST.klebsiella.258"
"1438713.3"	"Klebsiella pneumoniae CHS 07"	"USA"	"Human, Homo sapiens"	"2013-02-11"		"MLST.klebsiella.258"
"1438714.3"	"Klebsiella pneumoniae CHS 08"	"USA"	"Human, Homo sapiens"	"2013-02-08"		"MLST.klebsiella.258"
"1438715.3"	"Klebsiella pneumoniae CHS 09"	"USA"	"Human, Homo sapiens"	"2012-11-16"		"MLST.klebsiella.258"
"1438717.3"	"Klebsiella pneumoniae CHS 11"	"USA"	"Human, Homo sapiens"	"2013-02-27"		"MLST.klebsiella.258"
"1438718.3"	"Klebsiella pneumoniae CHS 12"	"USA"	"Human, Homo sapiens"	"2012-11-12"		"MLST.klebsiella.258"
"1438719.3"	"Klebsiella pneumoniae CHS 13"	"USA"	"Human, Homo sapiens"	"2012-11-09"		"MLST.klebsiella.258"
"1438720.3"	"Klebsiella pneumoniae CHS 14"	"USA"	"Human, Homo sapiens"	"2012-09-19"		"MLST.klebsiella.258"
"1438722.3"	"Klebsiella pneumoniae CHS 16"	"USA"	"Human, Homo sapiens"	"2013-01-01"		"MLST.klebsiella.258"
"1438723.3"	"Klebsiella pneumoniae CHS 17"	"USA"	"Human, Homo sapiens"	"2012-05-12"		"MLST.klebsiella.258"
"1438724.3"	"Klebsiella pneumoniae CHS 18"	"USA"	"Human, Homo sapiens"	"2012-10-28"		"MLST.klebsiella.258"
"1438725.3"	"Klebsiella pneumoniae CHS 19"	"USA"	"Human, Homo sapiens"	"2010-08-06"		"MLST.klebsiella.258"
"1438726.3"	"Klebsiella pneumoniae CHS 20"	"USA"	"Human, Homo sapiens"	"2013-04-04"		"MLST.klebsiella.258"
"1438727.3"	"Klebsiella pneumoniae CHS 21"	"USA"	"Human, Homo sapiens"	"2012-12-11"		"MLST.klebsiella.45"
"1438728.3"	"Klebsiella pneumoniae CHS 22"	"USA"	"Human, Homo sapiens"	"2013-04-01"		"MLST.klebsiella.258"
"1438729.3"	"Klebsiella pneumoniae CHS 23"	"USA"	"Human, Homo sapiens"	"2012-08-31"		"MLST.klebsiella.258"
"1438730.3"	"Klebsiella pneumoniae CHS 24"	"USA"	"Human, Homo sapiens"	"2012-06-14"		"MLST.klebsiella.11"
"1438731.3"	"Klebsiella pneumoniae CHS 25"	"USA"	"Human, Homo sapiens"	"2013-09-12"		"MLST.klebsiella.258"
"1438732.3"	"Klebsiella pneumoniae CHS 26"	"USA"	"Human, Homo sapiens"	"2013-08-09"		"MLST.klebsiella.258"
"1438733.3"	"Klebsiella pneumoniae CHS 27"	"USA"	"Human, Homo sapiens"	"2013-09-04"		"MLST.klebsiella.258"
"1438734.3"	"Klebsiella pneumoniae CHS 28"	"USA"	"Human, Homo sapiens"	"2013-09-13"		"MLST.klebsiella.258"
"1438735.3"	"Klebsiella pneumoniae CHS 29"	"USA"	"Human, Homo sapiens"	"2013-07-12"		"MLST.klebsiella.258"
"1438736.3"	"Klebsiella pneumoniae CHS 30"	"USA"	"Human, Homo sapiens"	"2013-08-24"		"MLST.klebsiella.258"
"1438737.3"	"Klebsiella pneumoniae CHS 31"	"USA"	"Human, Homo sapiens"	"2013-08-22"		"MLST.klebsiella.258"
"1438738.3"	"Klebsiella pneumoniae CHS 32"	"USA"	"Human, Homo sapiens"	"2013-08-29"		"MLST.klebsiella.258"
"1438739.3"	"Klebsiella pneumoniae CHS 33"	"USA"	"Human, Homo sapiens"	"2013-08-08"		"MLST.klebsiella.258"
