genome_id	genome_name	taxon_id	genome_status	genome_length	gc_content	contig_l50	contig_n50	chromosomes	plasmids	contigs	patric_cds	refseq_cds	trna	rrnacoarse_consistency	fine_consistency	checkm_completeness	checkm_contamination	genome_qualitydate_created	date_modified
573.65893	Klebsiella pneumoniae 003-E1-DxU	573	WGS	5276284	57.48851	10	207559	0	0	73	5131		65		98.2	100.0	0.0		2024-03-03T14:57:52.166Z
573.65896	Klebsiella pneumoniae 012-E1-DxU	573	WGS	5402197	57.448257	8	231717	0	0	74	5262		72		98.2	100.0	0.0		2024-03-03T14:57:32.736Z
573.12900	Klebsiella pneumoniae 1	573	WGS	5587484	57.16	8	250230			429	5667		82		98.1	100.0	0.0		2017-08-08T14:19:15.833Z
573.12961	Klebsiella pneumoniae 10	573	WGS	5559416	57.22	13	147147			408	5562		85		97.0	100.0	1.3		2017-08-08T15:04:04.182Z
573.12980	Klebsiella pneumoniae 101	573	WGS	5628103	57.05	9	225367			296	5655		80		97.4	100.0	1.0		2017-08-08T15:17:27.283Z
573.67358	Klebsiella pneumoniae 101683	573	WGS	5528082	57.244465	5	369461	0	0	83	5497		75		98.6	100.0	0.0		2024-03-03T22:31:45.338Z
573.13002	Klebsiella pneumoniae 102	573	WGS	5482072	57.35	10	186037			225	5392		87		98.2	100.0	0.0		2017-08-08T15:34:49.153Z
573.12890	Klebsiella pneumoniae 103	573	WGS	5395328	57.25	11	164988			351	5414		82		98.1	100.0	0.4		2017-08-08T14:12:24.806Z
573.67342	Klebsiella pneumoniae 103137	573	WGS	5364426	57.136776	5	380040	0	0	55	5282		68		95.9	95.2	0.1		2024-03-03T22:19:37.790Z
573.12935	Klebsiella pneumoniae 104	573	WGS	5447659	57.38	10	212827			282	5322		82		98.2	100.0	0.0		2017-08-08T14:43:44.977Z
573.12863	Klebsiella pneumoniae 105	573	WGS	5134488	57.62	10	191808			301	5004		89		97.8	100.0	0.0		2017-08-08T13:47:19.869Z
573.12873	Klebsiella pneumoniae 106	573	WGS	5547134	57.27	8	343631			371	5523		93		98.1	99.7	0.0		2017-08-08T13:57:36.431Z
573.67355	Klebsiella pneumoniae 106256	573	WGS	5616875	57.22374	7	206265	0	0	95	5496		73		98.2	100.0	0.0		2024-03-03T22:31:42.677Z
573.67359	Klebsiella pneumoniae 106698	573	WGS	5408326	57.413475	9	206262	0	0	93	5269		53		98.3	100.0	0.0		2024-03-03T22:31:58.929Z
573.12881	Klebsiella pneumoniae 108	573	WGS	5337557	57.29	7	219146			299	5206		93		97.7	100.0	0.3		2017-08-08T14:01:23.978Z
573.67354	Klebsiella pneumoniae 110036	573	WGS	5658157	56.945576	7	260743	0	0	101	5695		76		97.9	100.0	0.2		2024-03-03T22:32:27.455Z
573.67357	Klebsiella pneumoniae 111757	573	WGS	5433227	57.252274	3	463508	0	0	47	5311		75		98.7	100.0	0.0		2024-03-03T22:31:29.647Z
